Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-08-05 11:13:43,false,"Eindhoven Carrera","9.03","770","00:46:53","156","176","4.1","165","183","5:11","3:48","17","19","1.17","7.9","9.2","257","5:09","436","0.0","427","631","--","--","--","7,808","--","--","-10","--","No","00:00:09.4","10","--","--","--","--","00:46:12","00:46:53","11","18"
Cardio,2025-08-04 19:39:25,false,"CrossFit","0.00","586","00:37:39","157","182","3.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,430","--","--","-3","--","No","00:37:39","1","--","--","--","--","00:00:00","00:37:39","--","--"
Running,2025-08-03 09:15:48,false,"Eindhoven Carrera","11.02","989","01:05:08","150","168","3.7","167","186","5:55","3:41","22","20","1.02","8.5","8.7","270","5:53","376","0.0","372","633","--","--","--","10,900","--","--","-15","--","No","00:00:10.2","12","--","--","--","--","01:04:59","01:05:08","15","27"
Running,2025-08-02 10:11:58,false,"Eindhoven Carrera","5.01","426","00:26:05","156","165","3.3","169","185","5:12","4:20","6","12","1.13","8.0","9.0","258","5:15","425","0.0","422","499","--","--","--","4,402","--","--","-5","--","No","00:00:01.9","6","--","--","--","--","00:26:00","00:26:05","13","21"
Cardio,2025-07-31 19:39:17,false,"CrossFit","0.00","469","00:33:55","144","184","3.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,868","--","--","-5","--","No","00:33:55","1","--","--","--","--","00:00:00","00:40:03","--","--"
Running,2025-07-30 19:45:42,false,"Eindhoven Carrera","4.96","439","00:28:53","146","173","3.1","166","191","5:49","3:27","16","16","1.03","8.4","8.6","267","5:49","389","0.0","376","657","--","--","--","4,828","--","--","-6","--","No","00:05:09.4","5","--","--","--","--","00:28:39","00:28:53","13","19"
Cardio,2025-07-28 19:38:03,false,"CrossFit","0.00","459","00:28:58","159","190","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,426","--","--","-7","--","No","00:28:58","1","--","--","--","--","00:00:00","00:39:56","--","--"
Running,2025-07-27 11:18:35,false,"Eindhoven Carrera","11.38","1,036","01:08:54","148","157","3.7","167","182","6:03","4:57","6","8","0.99","8.6","8.6","272","6:03","365","0.0","363","458","--","--","--","11,526","--","--","-19","--","No","00:02:14.6","12","--","35","24","43","01:08:38","01:10:14","17","21"
Running,2025-07-26 10:15:40,false,"Eindhoven Carrera","4.88","430","00:27:28","151","179","3.2","165","200","5:37","2:44","7","7","1.08","8.4","8.9","268","5:36","406","0.0","392","787","--","--","--","4,546","--","--","-8","--","No","00:04:02.4","5","--","--","--","--","00:27:26","00:27:28","16","20"
Cardio,2025-07-24 19:38:28,false,"CrossFit","0.00","428","00:34:13","135","177","2.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,458","--","--","-5","--","No","00:34:13","1","--","--","--","--","00:00:00","00:40:19","--","--"
Cycling,2025-07-22 20:44:19,false,"Heeze-Leende Ciclismo","16.50","617","00:40:26","149","169","3.3","--","--","24.5","39.6","54","63","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-6","--","No","00:03:51.6","4","--","--","--","--","00:39:52","00:40:31","15","32"
Cycling,2025-07-22 19:14:46,false,"Eindhoven Ciclismo","20.51","782","00:47:53","157","175","4.0","--","--","25.7","35.8","63","55","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-8","--","No","00:01:32.7","5","--","--","--","--","00:46:40","00:47:53","17","30"
Cardio,2025-07-21 18:38:28,false,"CrossFit","0.00","572","00:34:04","161","183","3.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,208","--","--","-6","--","No","00:34:04","1","--","--","--","--","00:00:00","00:36:26","--","--"
Running,2025-07-18 21:24:21,false,"Eindhoven Carrera","5.14","451","00:28:14","152","163","3.2","166","176","5:29","4:30","6","7","1.10","8.1","9.0","264","5:28","409","0.0","404","497","--","--","--","4,692","--","--","-4","--","No","00:00:48.1","6","--","--","--","--","00:28:07","00:28:14","14","19"
Cardio,2025-07-16 19:38:57,false,"CrossFit","0.00","373","00:23:19","155","180","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,062","--","--","-4","--","No","00:23:19","1","--","--","--","--","00:00:00","00:27:25","--","--"
Running,2025-07-13 19:05:38,false,"Eindhoven Carrera","7.83","688","00:42:53","154","164","3.5","165","177","5:29","4:29","6","8","1.10","8.2","9.0","265","5:28","410","0.0","402","522","--","--","--","7,096","--","--","-8","--","No","00:04:36.3","8","--","--","--","--","00:42:37","00:42:53","12","17"
Running,2025-07-12 10:13:33,false,"Eindhoven Carrera","5.03","450","00:29:14","145","156","3.0","168","175","5:49","3:49","7","8","1.03","8.5","8.7","269","5:49","381","0.0","381","600","--","--","--","4,898","--","--","-6","--","No","00:00:12.7","6","--","--","--","--","00:29:12","00:29:14","15","19"
Cardio,2025-07-09 19:38:58,false,"CrossFit","0.00","579","00:34:32","161","186","3.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,830","--","--","-7","--","No","00:34:32","1","--","--","--","--","00:00:00","00:36:19","--","--"
Running,2025-07-07 15:46:54,false,"Eindhoven Carrera","8.65","740","00:47:59","151","166","3.5","155","186","5:33","4:16","29","29","1.17","7.9","9.2","258","5:30","438","0.0","408","598","--","--","--","7,486","--","--","-9","--","No","00:03:29.8","9","--","34","20","46","00:45:08","00:47:59","15","23"
Running,2025-07-05 19:02:25,false,"Eindhoven Carrera","6.01","511","00:31:26","155","173","3.4","164","184","5:14","3:47","20","23","1.17","7.9","9.2","258","5:13","443","0.0","428","686","--","--","--","5,144","--","--","-7","--","No","00:00:01.3","7","--","--","--","--","00:30:36","00:31:26","12","18"
Cycling,2025-07-02 14:08:32,false,"Eindhoven Ciclismo","23.05","851","01:00:02","147","162","3.4","--","--","23.0","35.1","95","111","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-11","--","No","00:09:09.8","5","--","--","--","--","00:58:46","01:10:02","17","38"
Cardio,2025-06-30 20:40:08,false,"CrossFit","0.00","565","00:39:32","151","216","3.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,974","--","--","-5","--","No","00:39:32","1","--","--","--","--","00:00:00","00:39:32","--","--"
Running,2025-06-28 10:14:58,false,"Eindhoven Carrera","4.88","440","00:28:21","152","164","3.1","166","176","5:49","4:30","9","7","1.04","8.5","8.8","270","5:47","380","0.0","377","518","--","--","--","4,718","--","--","-9","--","No","00:04:57.8","5","--","--","--","--","00:28:09","00:28:21","15","22"
Cardio,2025-06-26 16:38:22,false,"CrossFit","0.00","465","00:37:20","140","177","2.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,988","--","--","-3","--","No","00:37:20","1","--","--","--","--","00:00:00","00:37:20","--","--"
Running,2025-06-26 10:17:27,false,"Eindhoven Carrera","5.93","514","00:34:34","148","161","3.1","164","176","5:50","4:48","6","3","1.05","8.3","8.6","269","5:49","453","0.0","399","3,883","--","--","--","5,642","--","--","-7","--","No","00:05:06.4","6","--","--","--","--","00:34:31","00:34:34","15","19"
