Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2025-10-15 17:59:51,false,"Indoor Cycling","8.28","174","00:20:02","108","118","1.6","--","--","24.8","26.2","--","--","--","--","--","--","--","84","89","123","44.9","122","122","135","1694","--","--","--","--","--","-3","--","No","00:07:30.9","2","--","21","18","26","--","--","--","--","--","00:20:02","00:20:02","--","--"
Indoor Cycling,2025-10-14 17:57:36,false,"Indoor Cycling","8.63","165","00:20:52","102","109","1.3","--","--","24.8","26.1","--","--","--","--","--","--","--","79","85","110","10.2","111","109","122","1662","--","--","--","--","--","-3","--","No","00:08:45.8","2","--","21","16","28","--","--","--","--","--","00:20:51","00:20:52","--","--"
Running,2025-10-12 11:40:07,false,"Eindhoven - ASML Marathon Eindhoven (Halve Marathon Eindhoven)","21.27","1,339","01:34:45","167","176","5.0","175","188","4:27","3:47","43","41","1.28","7.5","9.6","237","4:27","--","--","354","0.0","--","353","441","--","--","--","16,488","--","--","-19","--","No","00:01:04.7","22","--","37","18","54","--","--","--","--","--","01:34:40","01:34:45","13","26"
Running,2025-10-11 11:22:03,false,"Eindhoven Running","3.71","255","00:21:43","145","156","2.6","168","174","5:51","5:28","11","7","1.02","8.9","9.0","269","5:51","--","--","276","0.0","--","274","364","--","--","--","3,642","--","--","-5","--","No","00:04:16.9","4","--","31","25","38","--","--","--","--","--","00:21:42","00:21:43","15","23"
Yoga,2025-10-10 20:35:25,false,"Yoga","--","39","00:19:36","69","98","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","--","No","00:19:36","1","--","13","8","22","2","29","31","46","81","00:19:36","00:19:36","--","--"
Running,2025-10-08 18:58:01,false,"Eindhoven - Intervals","9.03","579","00:47:47","146","167","3.6","168","177","5:17","4:16","21","14","1.12","8.5","9.4","261","5:17","--","--","313","0.0","--","303","394","--","--","--","7,980","--","--","-10","--","No","00:00:14.0","10","--","30","23","38","--","--","--","--","--","00:47:45","00:47:47","9","26"
Running,2025-10-06 19:03:37,false,"Eindhoven Running","6.05","381","00:35:53","126","133","2.6","166","174","5:56","4:35","18","6","1.01","9.0","9.1","271","5:55","--","--","273","0.0","--","272","361","--","--","--","5,972","--","--","-7","--","No","00:00:17.9","7","--","34","21","41","--","--","--","--","--","00:35:49","00:36:44","4","21"
Running,2025-10-05 10:49:40,false,"Eindhoven - Long run","10.03","640","00:50:58","153","168","4.0","170","177","5:05","3:53","33","31","1.16","8.3","9.4","255","5:06","--","--","334","0.0","--","323","539","--","--","--","8,604","--","--","-14","--","No","00:00:10.9","12","--","29","18","36","--","--","--","--","--","00:50:55","00:51:38","12","26"
Running,2025-10-03 14:25:28,false,"Eindhoven Running","6.08","402","00:39:46","126","135","2.4","159","171","6:32","4:50","29","14","0.97","9.3","9.0","277","6:25","--","--","264","0.0","--","255","372","--","--","--","6,326","--","--","-9","--","No","00:00:40.9","7","--","--","--","--","--","--","--","--","--","00:38:32","00:39:46","4","23"
Strength Training,2025-10-02 19:25:39,false,"Strength","0.00","258","00:40:59","108","141","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8","4","1","-3","--","No","00:40:59","1","--","--","--","--","--","--","--","--","--","00:40:59","00:40:59","--","--"
